ime,Sedež,Svetovni rang 2025,Tržna kapitalzicija Dec-25-2022 (Billion $),Svetovni rang Jan 2022,Tržna vrednost Jan 2022 (Billion $),Kategorija,Število zaposlenih,Letni dohodek (Million $),Neto dohodek (Million $)
APPLE,USA,1,2286,1,2825,Technology,164000,394330,99803
SAUDI ARABIAN OIL COMPANY (Saudi Aramco),Saudi Arabia,2,1841,3,1890,Energy,79800,400460,105380
MICROSOFT CORPORATION,USA,3,1780,2,2358,Technology,220000,198270,72738
ALPHABET,USA,4,1162,4,1820,Technology,190234,282840,59972
AMAZON.COM,USA,5,868,5,1649,eCommerce,1541000,513980,2722
BERKSHIRE HATHAWAY,USA,6,676,8,712,Financial Services,383000,234190,-22820
UNITEDHEALTH GROUP,USA,7,496,16,432,Healthcare,380000,322130,20120
JOHNSON &amp; JOHNSON,USA,8,464,14,458,Healthcare,155800,94940,17940
EXXON MOBIL CORPORATION,USA,9,448,29,292,Energy,62300,398670,55740
VISA,USA,10,436,13,472,Financial Services,26500,29310,14950
TENCENT,China,11,392,11,545,Communication Services,112771,87995,35320
TESLA,USA,12,389,6,1031,Electric Vehicles,127855,81462,12556
TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC),Taiwan,13,388,10,640,Technology,65152,55306,20783
WALMART,USA,14,388,20,402,Retail,2300000,611280,11680
J P MORGAN CHASE &amp; CO,USA,15,385,12,494,Financial Services,293723,128690,35890
NVIDIA CORPORATION,USA,16,374,9,679,Technology,26196,26974,4368
LVMH,France,17,364,18,409,Fashion and Luxury Goods,150000,70765,13264
PROCTER &amp; GAMBLE COMPANY,USA,18,362,21,394,Consumer Defensive,106000,80180,14460
ELI LILLY AND COMPANY,USA,19,350,39,248,Healthcare,39000,28541,6244
CHEVRON CORPORATION,USA,20,343,41,241,Energy,43846,235710,35460
MASTERCARD,USA,21,330,24,363,Digital Payment Solution Services,29900,2220,9900
HOME DEPOT,USA,22,325,17,411,Retail,518100,157400,17100
KWEICHOW MOUTAI,China,23,318,22,382,Consumer Defensive,29031,15929,7634
NESTLE AG,Switzerland,24,318,23,373,Consumer Defensive,275000,92575,17970
META PLATFORMS,USA,25,314,7,923,Communication Services,77805,116600,23200
